#Id Teff err [Fe/H] err Mv err age/Gyr err mass/Msun err logg err R/Rsun err B-V/mag err 
hd158449 5050 22 -0.21 0.02 2.035 0.279 2.723 0.653 1.448 0.123 3.258 0.099 4.537 0.689 0.926 0.008 
hd160215 4933 36 0.00 0.02 2.950 0.143 4.713 0.901 1.270 0.069 3.430 0.058 3.484 0.242 0.981 0.013 
hd163528 4993 26 0.01 0.02 1.991 0.232 2.076 0.401 1.665 0.108 3.234 0.072 5.004 0.556 0.952 0.010 
hd166494 5757 30 0.26 0.02 2.389 0.112 2.162 2.986 1.558 0.118 3.669 0.059 2.926 0.197 0.715 0.010 
hd167042 4953 25 0.07 0.01 2.472 0.028 2.809 0.182 1.524 0.036 3.320 0.024 4.335 0.102 0.971 0.010 
hd171264 5246 15 -0.02 0.01 2.712 0.195 2.895 0.386 1.475 0.073 3.594 0.063 3.095 0.300 0.863 0.005 
hd175541 5077 25 -0.08 0.01 2.493 0.262 2.827 0.516 1.469 0.096 3.439 0.093 3.708 0.511 0.920 0.009 
hd178251 4791 32 -0.62 0.03 2.122 0.312 10.131 1.455 0.918 0.038 2.604 0.070 7.663 0.671 0.998 0.011 
hd180053 5150 33 0.16 0.02 2.436 0.148 2.170 0.248 1.677 0.064 3.461 0.046 3.864 0.276 0.902 0.011 
hd180902 5021 33 0.02 0.02 2.588 0.204 2.924 0.404 1.484 0.074 3.424 0.068 3.792 0.370 0.945 0.013 
hd181342 4947 47 0.21 0.02 2.338 0.146 2.333 0.360 1.651 0.083 3.309 0.057 4.569 0.337 0.985 0.020 
hd183473 5609 25 -0.08 0.01 2.692 0.121 3.170 0.462 1.385 0.036 3.675 0.042 2.755 0.163 0.749 0.007 
hd185269 5977 35 0.13 0.02 3.172 0.061 3.605 0.911 1.338 0.048 3.969 0.028 1.924 0.065 0.656 0.009 
hd185351 5067 29 0.12 0.02 2.121 0.019 1.700 0.048 1.804 0.021 3.312 0.020 4.767 0.100 0.929 0.010 
hd187460 4695 65 -0.16 0.04 2.114 0.345 7.914 2.492 1.075 0.096 2.856 0.130 6.207 0.988 1.050 0.024 
hd188386 4984 26 -0.01 0.02 2.396 0.324 3.222 0.698 1.428 0.106 3.393 0.097 3.855 0.558 0.958 0.010 
hd192153 5188 18 -0.23 0.01 3.064 0.226 4.211 0.902 1.240 0.078 3.634 0.049 2.720 0.235 0.879 0.006 
hd192699 5168 25 -0.16 0.01 2.369 0.081 2.294 0.151 1.554 0.037 3.393 0.029 4.022 0.169 0.887 0.009 
hd193342 4925 40 0.05 0.02 1.862 0.175 2.080 0.405 1.675 0.110 3.124 0.063 5.694 0.498 0.984 0.016 
